atom_id,molecule_id,element,type,charge
LN,az,h,22,-0.006
LO,az,c,3,0.194
LP,az,c,3,-0.205
LQ,az,c,27,0.042
LR,az,c,22,-0.017
LS,az,c,22,0.064
LT,az,c,22,0.082
LU,az,h,3,0.081
LV,az,h,3,-0.126
LW,az,h,3,-0.15
LX,az,o,40,-0.041
LY,aA,c,22,0.383
LZ,aA,h,40,-0.098
Ma,aA,c,22,-0.338
Mb,aA,h,42,0.149
Mc,aA,c,22,-0.11
Md,aA,o,22,0.503
Me,aA,i,42,-0.021
Mf,aA,c,22,0.523
Mg,aA,o,42,0.651
Mh,aA,h,40,-0.005
Mi,aA,c,22,-0.106
Mj,aA,h,3,-0.781
Mk,aA,h,32,0.478
Ml,aA,c,3,0.205
Mm,aA,c,3,-0.105
Mn,aA,n,42,0.291
Mo,aB,c,3,0.339
Mp,aB,c,3,0.644
Mq,aB,h,3,0.764
Mr,aB,h,29,0.298
Ms,aB,o,22,0.216
Mt,aB,c,3,0.032
Mu,aB,h,3,0.035
Mv,aB,i,27,0.565
Mw,aB,c,22,0.016
Mx,aB,o,22,-0.064
My,aB,h,27,0.195
Mz,aB,c,3,0.015
MA,aB,n,22,-0.115
MB,aB,c,27,0.004
MC,aB,o,42,-0.424
MD,aB,h,3,0.391
ME,aB,h,22,0.646
MF,aB,c,22,0.415
MG,aB,c,3,-0.078
MH,aB,i,3,0.644
MI,aB,c,3,1.002
MJ,aB,h,27,-0.592
MK,aB,o,32,0.298
ML,aB,o,40,-0.431
MM,aB,h,27,-0.365
MN,aB,c,40,0.481
MO,aB,c,42,-0.272
MP,aB,h,40,0.492
MQ,aB,h,3,1.002
MR,aC,h,3,-0.074
MS,aC,h,3,0.473
MT,aC,c,29,-0.234
MU,aC,h,3,0.114
MV,aC,c,27,-0.025
MW,aC,h,40,0.144
MX,aC,o,3,0.419
MY,aC,c,14,-0.54
MZ,aC,c,3,-0.322
Na,aC,c,3,-0.658
Nb,aC,h,3,0.555
Nc,aC,h,22,0.24
Nd,aC,o,3,-0.035
Ne,aC,h,40,0.448
Nf,aC,c,29,-0.044
Ng,aC,c,3,-0.13
Nh,aC,o,22,-0.368
Ni,aD,o,42,-0.161
Nj,aD,c,22,-0.309
Nk,aD,c,22,-0.035
Nl,aD,h,22,0.033
Nm,aD,c,42,-0.064
Nn,aD,i,92,0.398
No,aD,c,3,0.664
Np,aD,c,22,0.24
Nq,aD,c,22,0.406
Nr,aD,c,22,0.161
Ns,aD,h,22,0.415
Nt,aD,i,22,0.606
Nu,aD,o,29,0.076
Nv,aD,c,22,0.274
Nw,aD,c,22,0.023
Nx,aD,c,22,0.368
Ny,aD,c,3,-0.41
Nz,aD,h,3,0.232
NA,aD,h,3,0.001
NB,aD,c,27,-0.127
NC,aD,c,3,0.008
ND,aD,h,3,-0.072
NE,aD,h,22,0.036
NF,aD,h,3,-0.104
NG,aD,c,3,-0.547
NH,aE,i,40,-0.33
NI,aE,h,27,-0.057
NJ,aE,h,40,0.465
NK,aE,h,3,0.287
NL,aE,o,3,0.38
NM,aE,c,22,0.477
NN,aE,o,10,0.299
NO,aE,h,40,0.747
NP,aE,i,29,-0.298
NQ,aE,h,3,-0.162
NR,aE,h,42,0.358
NS,aE,c,22,-0.575
NT,aE,i,27,-0.188
NU,aE,c,22,0.024
NV,aE,i,10,-0.033
NW,aF,c,40,0.023
NX,aF,c,27,0.114
NY,aF,h,3,0.378
NZ,aF,c,40,-0.176
Oa,aF,i,22,-0.016
Ob,aF,h,22,-0.307
Oc,aF,h,22,-0.282
Od,aF,h,3,0.301
Oe,aF,h,22,0.083
Of,aF,c,3,0.207
Og,aF,c,3,-0.074
Oh,aF,c,3,-0.222
Oi,aF,c,3,-0.175
Oj,aF,c,3,0.017
Ok,aF,c,40,0.041
Ol,aF,h,22,0.072
Om,aF,o,22,0.235
On,aF,c,38,-0.329
Oo,aF,c,42,-0.107
Op,aF,c,28,0.22
Oq,aF,i,22,0.532
Or,aF,c,10,-0.481
Os,aF,c,3,-0.088
Ot,aF,c,3,0.039
Ou,aF,c,40,0.269
Ov,aF,c,3,0.144
Ow,aF,c,3,0.139
Ox,aF,i,22,-0.026
Oy,aG,c,22,0.184
Oz,aG,o,22,-0.225
OA,aG,i,42,-0.175
OB,aG,h,42,-0.035
OC,aG,c,22,-0.243
OD,aG,h,3,0.012
OE,aG,c,3,0.097
OF,aG,c,22,-0.469
OG,aG,c,3,0.292
OH,aG,h,40,-0.044
OI,aG,c,22,0.027
OJ,aG,c,22,0.169
OK,aG,h,3,-0.072
OL,aG,h,38,0.0
OM,aG,c,3,0.118
ON,aG,c,22,0.071
OO,aG,h,22,-0.205
OP,aG,h,22,-0.144
OQ,aG,h,1,0.136
OR,aG,c,22,0.172
OS,aG,c,3,-0.094
OT,aG,o,40,-0.386
OU,aG,o,27,-0.107
OV,aG,o,3,-0.162
OW,aG,h,3,0.304
OX,aH,c,3,-0.31
OY,aH,h,22,-0.009
OZ,aH,h,22,0.082
Pa,aH,h,3,-0.118
Pb,aH,c,3,-0.043
Pc,aH,c,3,-0.031
Pd,aH,c,3,0.357
Pe,aH,h,22,-0.079
Pf,aH,c,3,0.262
Pg,aH,c,42,0.122
Ph,aH,c,3,-0.09
Pi,aH,c,92,0.052
Pj,aH,h,22,0.163
Pk,aH,c,3,-0.294
Pl,aH,c,26,-0.077
Pm,aH,h,22,0.111
Pn,aH,c,3,0.167
Po,aH,c,38,0.149
Pp,aH,h,22,0.31
Pq,aH,c,40,-0.117
Pr,aH,c,40,0.004
Ps,aH,c,42,-0.45
Pt,aH,h,22,-0.123
Pu,aH,c,3,-0.133
Pv,aH,h,3,0.135
Pw,aH,c,3,0.041
Px,aH,h,22,-0.151
Py,aH,h,3,0.06
Pz,aH,c,3,0.303
PA,aH,c,3,0.194
PB,aH,c,3,-0.222
PC,aH,c,40,0.107
PD,aH,c,3,0.031
PE,aH,h,22,0.105
PF,aH,h,22,0.233
PG,aH,h,22,0.124
PH,aI,c,3,-0.209
PI,aI,h,22,-0.084
PJ,aI,o,22,0.176
PK,aI,c,3,-0.07
PL,aI,h,22,0.22
PM,aI,c,27,-0.155
PN,aI,h,3,-0.112
PO,aI,c,38,-0.198
PP,aI,c,10,-0.225
PQ,aI,h,3,0.268
PR,aI,c,3,0.147
PS,aI,c,38,-0.087
PT,aI,c,3,-0.371
PU,aI,c,3,0.05
PV,aI,o,22,0.021
PW,aI,c,3,-0.083
PX,aI,c,40,0.085
PY,aI,h,22,-0.027
PZ,aI,h,22,-0.127
Qa,aI,c,40,-0.328
Qb,aI,h,3,0.19
Qc,aI,c,3,-0.064
Qd,aI,c,40,-0.13
Qe,aI,h,22,0.153
Qf,aI,c,38,-0.168
Qg,aI,h,3,0.13
Qh,aI,h,22,0.075
Qi,aI,c,3,-0.118
Qj,aI,c,40,-0.291
Qk,aI,c,40,-0.097
Ql,aI,c,3,-0.099
Qm,aI,h,3,-0.332
Qn,aI,h,3,0.031
Qo,aI,c,3,0.177
Qp,aI,c,40,-0.033
Qq,aI,h,22,0.235
Qr,aI,c,40,0.227
Qs,aI,h,22,-0.044
Qt,aI,c,3,-0.179
Qu,aI,c,40,0.225
Qv,aJ,h,22,-0.345
Qw,aJ,h,22,0.324
Qx,aJ,c,3,-0.503
Qy,aJ,c,3,0.461
Qz,aJ,c,40,-0.251
QA,aJ,h,22,0.047
QB,aJ,h,22,0.143
QC,aJ,h,3,0.125
QD,aJ,c,22,0.197
QE,aJ,h,22,0.331
QF,aJ,c,3,0.165
QG,aJ,c,3,-0.359
QH,aJ,h,3,-0.112
QI,aJ,h,3,-0.419
QJ,aJ,o,3,-0.336
QK,aJ,n,22,-0.122
QL,aJ,c,22,-0.267
QM,aJ,c,3,-0.308
QN,aJ,c,3,-0.254
QO,aJ,h,3,0.007
QP,aJ,c,3,-0.152
QQ,aJ,c,40,-0.084
QR,aJ,h,22,0.093
QS,aJ,c,38,-0.023
QT,aJ,c,22,-0.729
QU,aJ,h,3,0.204
QV,aJ,c,3,-0.301
QW,aJ,c,22,0.196
QX,aJ,c,3,0.15
QY,aK,h,3,-0.01
QZ,aK,h,3,0.121
Ra,aK,h,3,0.516
Rb,aK,h,22,-0.173
Rc,aK,h,3,-0.69
Rd,aK,c,22,-0.286
Re,aK,h,40,0.221
Rf,aK,c,3,0.213
Rg,aK,o,22,-0.161
Rh,aK,n,22,0.262
Ri,aK,h,22,0.455
Rj,aK,h,27,-0.056
Rk,aK,c,3,-0.092
Rl,aK,h,40,-0.353
Rm,aK,c,22,0.024
Rn,aK,c,3,-0.094
Ro,aK,c,22,0.333
Rp,aK,c,3,0.214
Rq,aK,c,3,0.157
Rr,aK,c,3,0.034
Rs,aK,h,22,0.101
Rt,aK,h,22,-0.131
Ru,aK,c,22,-0.306
Rv,aK,c,38,0.572
Rw,aK,i,38,0.39
Rx,aL,c,3,0.37
Ry,aL,c,22,0.179
Rz,aL,c,22,-0.231
RA,aL,c,3,0.224
RB,aL,c,40,-0.321
RC,aL,h,3,0.298
RD,aL,h,3,-0.085
RE,aL,c,22,-0.131
RF,aL,h,3,0.091
RG,aL,c,22,0.047
RH,aL,c,22,0.194
RI,aL,h,38,-0.177
RJ,aL,c,40,0.049
RK,aL,c,3,0.47
RL,aL,c,3,0.144
RM,aL,o,28,0.147
RN,aL,c,22,0.437
RO,aL,h,27,0.117
RP,aL,c,22,-0.003
RQ,aL,h,27,0.423
RR,aL,h,3,-0.07
RS,aL,h,3,0.01
RT,aL,c,3,0.202
RU,aL,c,22,-0.045
RV,aL,c,22,0.37
RW,aL,c,3,0.06
RX,aL,c,3,0.356
RY,aL,h,27,-0.356
RZ,aL,c,22,0.269
Sa,aL,c,3,-0.38
Sb,aL,h,3,0.049
Sc,aL,c,3,-0.117
Sd,aL,c,3,0.157
Se,aL,c,42,-0.194
Sf,aL,h,27,0.203
Sg,aL,c,3,-0.188
Sh,aL,h,22,0.201
Si,aL,i,3,0.168
Sj,aL,c,3,-0.075
Sk,aM,c,3,-0.096
Sl,aM,c,22,0.14
Sm,aM,h,40,-0.039
Sn,aM,h,40,0.045
So,aM,n,38,0.128
Sp,aM,h,40,-0.165
Sq,aM,h,3,0.307
Sr,aM,h,3,-0.209
Ss,aM,h,27,0.22
St,aM,h,195,-0.034
Su,aM,h,3,-0.274
Sv,aM,c,3,0.426
Sw,aM,n,40,-0.649
Sx,aM,c,22,-0.16
Sy,aM,c,3,0.191
Sz,aM,h,3,0.329
SA,aM,i,42,0.21
SB,aM,c,40,-0.231
SC,aM,c,22,0.043
SD,aM,c,22,0.131
SE,aM,i,40,-0.267
SF,aM,c,22,0.107
SG,aM,o,38,0.125
SH,aM,o,40,-0.485
SI,aN,c,38,0.273
SJ,aN,h,22,-0.085
SK,aN,i,3,-0.105
SL,aN,c,42,-0.344
SM,aN,c,40,-0.125
SN,aN,h,22,0.148
SO,aN,c,42,0.056
SP,aN,o,3,0.044
SQ,aN,c,42,-0.113
SR,aN,c,40,-0.214
SS,aN,h,42,0.508
ST,aN,c,42,0.172
SU,aN,c,38,-0.17
SV,aN,h,3,0.477
SW,aN,c,27,0.0
SX,aN,h,40,-0.304
SY,aN,h,38,0.32
SZ,aN,o,22,-0.001
Ta,aN,n,3,-0.378
Tb,aN,o,22,-0.134
Tc,aN,c,3,-0.058
Td,aN,n,27,-0.095
Te,aN,c,40,-0.228
Tf,aN,h,3,-0.124
Tg,aN,c,3,0.473
Th,aN,c,3,-0.272
Ti,aO,c,3,0.304
Tj,aO,c,3,0.329
Tk,aO,h,40,-0.407
Tl,aO,h,3,0.425
Tm,aO,h,3,-0.011
Tn,aO,h,3,0.042
To,aO,h,40,0.232
Tp,aO,c,3,-0.265
Tq,aO,h,3,0.388
Tr,aO,c,3,-0.062
Ts,aO,h,3,-0.192
Tt,aO,c,22,-0.245
Tu,aO,c,22,0.403
Tv,aO,h,3,-0.004
Tw,aO,c,3,0.056
Tx,aO,h,22,0.115
Ty,aO,c,22,0.219
Tz,aO,c,22,-0.674
TA,aO,h,3,-0.282
TB,aO,h,22,0.016
TC,aO,c,22,-0.109
TD,aO,c,3,0.155
TE,aO,h,3,0.346
TF,aO,o,40,-0.021
TG,aO,c,3,-0.033
TH,aO,c,22,0.071
TI,aO,o,3,-0.099
TJ,aO,c,3,-0.154
TK,aO,c,22,0.174
TL,aO,n,93,-0.257
TM,aO,c,3,-0.293
TN,aO,c,3,-0.17
TO,aO,h,3,0.069
TP,aO,h,3,-0.061
TQ,aO,h,40,-0.09
TR,aO,c,3,0.079
TS,aP,c,22,0.05
TT,aP,c,40,0.047
TU,aP,c,3,-0.215
TV,aP,c,38,-0.269
TW,aP,c,40,-0.216
TX,aP,h,40,0.009
TY,aP,c,40,-0.189
TZ,aP,c,3,0.058
Ua,aP,c,22,-0.302
Ub,aP,i,40,0.519
Uc,aP,c,22,-0.099
Ud,aP,h,3,-0.021
Ue,aP,c,38,-0.056
Uf,aP,c,22,0.062
Ug,aP,c,3,0.25
Uh,aP,h,10,0.116
Ui,aP,c,27,0.199
Uj,aP,i,40,-0.006
Uk,aP,c,22,0.165
Ul,aP,h,29,0.544
Um,aP,h,3,-0.241
Un,aP,c,27,-0.073
Uo,aP,c,22,0.172
Up,aP,c,22,-0.262
Uq,aP,c,32,0.023
Ur,aP,i,3,0.273
Us,aP,c,22,-0.116
Ut,aP,h,22,-0.205
Uu,aP,h,22,-0.096
Uv,aP,c,3,0.114
Uw,aP,c,27,-0.224
Ux,aP,h,10,0.033
Uy,aP,n,3,-0.366
Uz,aP,c,22,0.144
UA,aQ,c,40,-0.019
UB,aQ,h,22,-0.048
UC,aQ,c,3,0.165
UD,aQ,h,3,-0.039
UE,aQ,c,3,0.279
UF,aQ,c,3,-0.057
UG,aQ,h,3,0.004
UH,aQ,h,22,-0.04
UI,aQ,c,3,-0.051
UJ,aQ,c,22,0.074
UK,aQ,h,3,0.064
UL,aQ,c,26,-0.188
UM,aQ,h,27,-0.188
UN,aQ,c,38,0.012
UO,aQ,h,40,-0.237
UP,aQ,c,22,-0.05
UQ,aQ,c,3,0.06
UR,aQ,h,3,-0.035
US,aQ,h,3,-0.114
UT,aQ,h,3,0.316
UU,aQ,c,22,0.078
UV,aQ,h,3,-0.027
UW,aQ,c,40,0.07
UX,aQ,h,40,-0.147
UY,aQ,h,27,0.183
UZ,aQ,c,28,-0.2
Va,aQ,c,42,0.0
Vb,aQ,c,27,-0.087
Vc,aQ,c,3,-0.049
Vd,aQ,c,3,0.187
Ve,aQ,h,40,0.087
Vf,aQ,h,195,-0.096
Vg,aQ,c,22,0.3
Vh,aQ,c,3,0.008
Vi,aQ,c,22,0.012
Vj,aR,c,3,-0.197
Vk,aR,o,3,0.271
Vl,aR,o,22,0.2
Vm,aR,c,22,0.057
Vn,aR,c,3,0.113
Vo,aR,c,40,0.172
Vp,aR,h,40,-0.212
Vq,aR,c,22,-0.09
Vr,aR,c,22,0.265
Vs,aR,c,3,-0.263
Vt,aR,h,3,0.273
Vu,aR,c,22,0.054
Vv,aR,c,22,-0.013
Vw,aR,c,22,-0.034
Vx,aR,c,22,0.522
Vy,aR,c,22,-0.2
Vz,aR,c,27,-0.346
VA,aR,i,3,0.057
VB,aR,h,40,-0.24
VC,aR,h,22,-0.533
VD,aR,h,22,0.076
VE,aR,c,27,0.02
VF,aR,h,3,0.303
VG,aR,c,22,-0.161
VH,aR,o,3,-0.108
VI,aR,o,3,-0.039
VJ,aR,h,22,-0.135
VK,aR,c,22,0.107
VL,aR,n,21,0.016
VM,aR,c,40,0.04
VN,aS,h,3,0.109
VO,aS,c,22,-0.24
VP,aS,c,3,-0.375
VQ,aS,c,1,-0.011
VR,aS,c,3,-0.454
VS,aS,h,22,0.506
VT,aS,h,40,-0.224
VU,aS,o,27,-0.108
VV,aS,h,3,0.309
VW,aS,c,22,0.114
VX,aS,c,3,0.238
VY,aS,h,3,-0.564
VZ,aS,c,3,0.313
Wa,aS,h,40,-0.09
Wb,aS,h,22,0.609
Wc,aS,h,40,-0.155
Wd,aS,h,42,0.064
We,aS,c,22,-0.046
Wf,aS,c,22,0.204
Wg,aS,o,93,0.172
Wh,aS,o,27,-0.249
Wi,aS,c,22,0.379
Wj,aS,h,22,0.201
Wk,aS,c,3,-0.21
Wl,aS,c,27,-0.035
Wm,aS,c,22,-0.498
Wn,aS,c,3,0.094
Wo,aS,h,3,-0.027
Wp,aS,h,42,-0.276
Wq,aS,o,3,-0.213
Wr,aT,c,22,0.192
Ws,aT,c,3,0.294
Wt,aT,h,40,-0.15
Wu,aT,h,3,-0.571
Wv,aT,o,40,-0.134
Ww,aT,c,22,0.297
Wx,aT,c,40,0.32
Wy,aT,h,40,-0.211
Wz,aT,c,3,-0.21
WA,aT,h,40,-0.36
WB,aT,h,22,0.277
WC,aT,h,22,0.313
WD,aT,h,22,-0.505
WE,aT,h,22,0.236
WF,aT,h,22,0.527
WG,aT,h,3,0.22
WH,aT,c,27,0.44
WI,aT,c,40,-0.266
WJ,aT,c,22,-0.358
WK,aT,c,3,0.406
WL,aT,c,22,0.286
WM,aU,o,22,-0.016
WN,aU,c,21,0.008
WO,aU,o,3,-0.043
WP,aU,h,3,0.097
WQ,aU,c,40,0.117
WR,aU,h,3,0.048
WS,aU,c,3,-0.121
WT,aU,o,22,0.197
WU,aU,h,40,0.094
WV,aU,h,3,-0.025
WW,aU,c,40,-0.203
WX,aU,h,40,0.053
WY,aU,c,27,0.027
WZ,aU,h,40,0.137
Xa,aU,h,27,-0.273
Xb,aU,c,10,0.229
Xc,aU,h,3,-0.202
Xd,aU,c,27,-0.139
Xe,aU,c,3,0.127
Xf,aU,o,3,-0.083
Xg,aU,h,22,0.07
Xh,aU,h,3,0.118
Xi,aU,c,40,-0.061
Xj,aU,h,22,0.093
Xk,aU,n,22,0.372
Xl,aU,c,3,-0.142
Xm,aU,o,22,0.077
Xn,aU,c,40,-0.228
Xo,aV,o,3,-0.245
Xp,aV,h,22,-0.026
Xq,aV,c,22,-0.37
Xr,aV,c,22,-0.036
Xs,aV,c,22,-0.511
Xt,aV,c,22,-0.03
Xu,aV,o,27,0.311
Xv,aV,c,22,0.239
Xw,aV,o,27,0.001
Xx,aV,c,22,0.129
Xy,aV,h,3,0.007
Xz,aV,c,3,0.335
XA,aV,h,3,0.17
XB,aV,c,3,0.647
XC,aV,h,22,-0.441
XD,aV,h,40,-0.329
XE,aV,h,27,-0.036
XF,aV,c,22,-0.263
XG,aV,c,3,0.091
XH,aV,h,3,0.052
XI,aW,c,40,-0.281
XJ,aW,o,3,0.253
XK,aW,c,22,0.038
XL,aW,c,3,-0.137
XM,aW,c,22,0.302
XN,aW,h,22,0.392
XO,aW,c,22,-0.147
XP,aW,c,22,-0.047
XQ,aW,c,3,0.33
XR,aW,n,22,0.01
XS,aW,c,22,-0.053
XT,aW,c,3,0.055
XU,aW,c,3,-0.057
XV,aW,h,3,0.153
XW,aW,h,3,0.31
XX,aW,h,3,0.131
XY,aW,c,22,-0.116
XZ,aW,c,22,0.201
Ya,aW,h,3,-0.004
Yb,aW,c,40,-0.103
Yc,aW,h,22,-0.03
Yd,aW,c,38,-0.046
Ye,aW,c,3,-0.065
Yf,aW,h,22,-0.013
Yg,aW,h,3,0.185
Yh,aW,h,22,-0.077
Yi,aW,i,22,-0.0
Yj,aW,c,3,0.069
Yk,aW,h,22,0.271
Yl,aW,c,22,-0.125
Ym,aW,h,3,-0.035
Yn,aW,h,3,-0.085
Yo,aW,c,3,-0.083
Yp,aW,h,3,-0.041
Yq,aW,c,3,-0.127
Yr,aX,h,3,0.194
Ys,aX,h,3,-0.176
Yt,aX,h,3,-0.265
Yu,aX,c,22,-0.056
Yv,aX,c,22,0.313
Yw,aX,h,38,-0.226
Yx,aX,o,3,0.482
Yy,aX,o,42,0.223
Yz,aX,c,22,0.321
YA,aX,h,22,0.075
YB,aX,h,3,-0.252
YC,aX,h,22,-0.219
YD,aX,c,3,0.239
YE,aX,c,22,0.06
YF,aX,c,3,-0.202
YG,aX,h,3,0.272
YH,aX,c,22,0.335
YI,aX,c,3,-0.08
YJ,aX,n,3,-0.162
YK,aX,c,3,-0.011
YL,aX,c,3,-0.307
YM,aX,h,38,0.127
YN,aX,c,40,0.53
YO,aX,c,3,-0.193
YP,aY,h,3,0.117
YQ,aY,c,22,-0.08
YR,aY,c,22,0.455
YS,aY,h,27,0.002
YT,aY,c,22,0.167
YU,aY,i,38,-0.172
YV,aY,n,32,-0.106
YW,aY,c,22,0.043
YX,aY,c,3,0.039
YY,aY,c,22,0.032
YZ,aY,c,3,-0.354
Za,aY,c,40,0.137
Zb,aY,h,3,-0.248
Zc,aY,c,3,-0.013
Zd,aY,c,22,0.026
Ze,aY,c,22,0.186
Zf,aY,h,3,0.67
Zg,aY,c,22,-0.095
Zh,aY,h,22,-0.122
Zi,aY,c,22,0.241
Zj,aZ,h,3,-0.035
Zk,aZ,h,27,0.329
Zl,aZ,c,3,-0.112
Zm,aZ,c,3,0.142
Zn,aZ,o,40,0.044
Zo,aZ,c,3,0.089
Zp,aZ,c,3,-0.203
Zq,aZ,h,3,-0.299
Zr,aZ,h,3,-0.045
Zs,aZ,h,22,-0.074
Zt,aZ,h,3,-0.352
Zu,aZ,h,27,-0.071
Zv,aZ,c,3,-0.243
Zw,aZ,h,40,-0.047
Zx,aZ,h,3,-0.315
Zy,aZ,o,40,-0.022
Zz,aZ,c,29,-0.079
ZA,aZ,c,29,-0.315
ZB,aZ,c,3,0.433
ZC,aZ,c,3,-0.098
ZD,aZ,c,22,-0.075
ZE,aZ,h,3,-0.139
ZF,aZ,h,27,0.019
ZG,aZ,h,3,-0.003
ZH,aZ,h,1,0.275
ZI,aZ,f,40,0.42
ZJ,aZ,c,22,-0.079
ZK,aZ,c,42,0.275
ZL,aZ,h,22,-0.213
ZM,aZ,c,3,0.073
ZN,aZ,c,22,-0.119
ZO,aZ,h,40,-0.513
ZP,aZ,c,22,0.711
ZQ,aZ,h,3,-0.355
ZR,ba,h,40,-0.112
ZS,ba,o,27,-0.328
ZT,ba,h,3,-0.157
ZU,ba,c,42,-0.291
ZV,ba,c,52,-0.17
ZW,ba,h,93,-0.213
ZX,ba,c,3,0.174
ZY,ba,h,3,-0.44
ZZ,ba,h,22,-0.073
aaa,ba,o,3,-0.376
aab,ba,h,27,-0.148
aac,ba,c,40,-0.46
aad,ba,h,38,-0.288
aae,ba,c,40,-0.576
aaf,ba,c,3,-0.006
aag,ba,c,40,0.255
aah,ba,c,3,0.477
aai,ba,h,40,-0.094
aaj,ba,o,3,0.105
aak,ba,i,22,0.458
aal,ba,h,42,0.067
aam,ba,h,29,-0.494
aan,ba,h,93,0.144
aao,ba,c,22,0.465
aap,ba,h,3,-0.015
aaq,ba,c,3,-0.282
aar,ba,c,3,0.092
aas,ba,c,40,-0.399
aat,ba,h,40,-0.039
aau,ba,h,3,0.342
aav,ba,h,40,0.434
aaw,ba,c,22,0.141
aax,ba,h,42,-0.225
aay,ba,c,27,-0.308
aaz,ba,c,3,-0.405
aaA,ba,c,40,-0.184
aaB,ba,h,27,0.213
aaC,ba,h,3,0.068
aaD,ba,i,22,0.025
aaE,ba,c,3,0.073
aaF,bb,h,3,0.081
aaG,bb,o,40,-0.415
aaH,bb,h,42,0.004
aaI,bb,h,3,-0.273
aaJ,bb,c,22,-0.058
aaK,bb,i,22,-0.237
aaL,bb,c,38,0.017
aaM,bb,h,22,-0.014
aaN,bb,h,22,-0.309
aaO,bb,h,42,-0.127
aaP,bb,h,3,0.063
aaQ,bb,c,38,-0.211
aaR,bb,n,40,-0.076
aaS,bb,i,40,-0.156
aaT,bb,o,27,0.269
aaU,bb,c,42,-0.021
aaV,bb,h,22,0.199
aaW,bc,h,22,0.197
aaX,bc,c,3,-0.195
aaY,bc,c,3,-0.504
aaZ,bc,f,42,0.325
aba,bc,c,27,0.169
abb,bc,h,26,-0.197
abc,bc,o,3,0.168
abd,bc,h,40,-0.067
abe,bc,c,195,-0.432
abf,bc,c,42,-0.237
abg,bc,o,40,-0.273
abh,bc,h,3,0.015
abi,bc,h,40,-0.305
abj,bc,o,22,0.412
abk,bc,h,22,0.408
abl,bc,i,40,0.47
abm,bc,h,3,-0.052
abn,bc,c,22,0.009
abo,bc,h,3,0.172
abp,bc,c,40,-0.117
abq,bc,o,27,-0.597
abr,bc,n,3,-0.001
abs,bc,h,22,0.732
abt,bc,c,22,-0.055
abu,bc,c,3,-0.161
abv,bd,h,22,-0.081
abw,bd,c,195,0.123
abx,bd,h,3,0.455
aby,bd,h,40,0.272
abz,bd,c,22,-0.502
abA,bd,c,3,-0.207
abB,bd,h,3,-0.269
abC,bd,c,3,0.415
abD,bd,n,3,0.469
abE,bd,c,38,0.469
abF,bd,h,40,0.138
abG,bd,h,22,0.248
abH,bd,h,40,-0.093
abI,bd,h,3,-0.23
abJ,bd,o,3,-0.139
abK,bd,h,3,-0.464
abL,bd,h,40,0.319
abM,bd,o,3,0.438
abN,bd,c,3,0.112
abO,bd,c,3,0.026
abP,bd,h,22,0.056
abQ,bd,c,40,-0.187
abR,bd,h,3,-0.013
abS,bd,c,3,-0.326
abT,bd,n,38,-0.063
abU,bd,c,22,-0.124
abV,bd,c,3,-0.475
abW,bd,c,29,0.32
abX,bd,h,3,-0.006
abY,bd,c,40,-0.409
abZ,bd,c,27,-0.305
aca,be,c,22,0.238
acb,be,c,22,-0.035
acc,be,c,3,-0.442
acd,be,h,3,-0.061
ace,be,o,22,0.098
acf,be,c,3,0.421
acg,be,c,40,-0.206
ach,be,h,22,0.064
aci,be,c,22,0.158
acj,be,c,3,-0.441
ack,be,h,3,0.559
acl,be,i,27,-0.13
acm,be,o,27,-0.469
acn,be,c,40,0.081
aco,be,c,3,-0.482
acp,be,h,3,0.374
acq,be,o,22,0.406
acr,be,c,3,-0.219
acs,be,c,10,0.088
act,be,i,22,0.269
acu,be,h,27,-0.288
acv,be,c,32,-0.571
acw,bf,c,40,0.071
acx,bf,c,27,-0.122
acy,bf,h,3,0.264
acz,bf,c,38,-0.152
acA,bf,h,3,0.138
acB,bf,c,3,-0.035
acC,bf,c,3,0.432
acD,bf,c,42,-0.462
acE,bf,c,42,-0.355
acF,bf,c,38,-0.079
acG,bf,h,22,0.185
acH,bf,h,3,0.111
acI,bf,h,22,0.183
acJ,bf,h,3,0.037
acK,bf,c,42,0.141
acL,bf,c,42,-0.256
acM,bf,c,3,-0.092
acN,bf,h,3,-0.061
acO,bf,c,3,-0.018
acP,bf,h,3,0.282
acQ,bf,c,1,-0.436
acR,bf,c,38,-0.093
acS,bf,c,42,0.205
acT,bf,h,3,0.326
acU,bf,c,38,0.158
acV,bf,o,22,-0.162
acW,bf,c,34,-0.506
acX,bg,h,27,0.015
acY,bg,c,22,0.168
acZ,bg,c,40,-0.019
ada,bg,c,40,0.022
adb,bg,c,3,-0.103
adc,bg,c,3,0.109
add,bg,c,3,0.06
ade,bg,c,38,-0.373
adf,bg,h,27,-0.194
adg,bg,h,3,-0.066
adh,bg,o,1,0.06
adi,bg,c,22,0.396
adj,bg,c,3,-0.126
adk,bg,c,22,0.172
adl,bg,h,3,0.084
adm,bg,h,42,-0.352
adn,bg,c,3,0.267
ado,bg,n,3,0.119
adp,bg,c,1,-0.158
adq,bg,o,22,0.201
adr,bg,c,40,0.149
ads,bg,h,40,0.138
adt,bg,c,3,-0.192
adu,bg,c,22,0.178
adv,bg,c,3,0.073
adw,bg,c,27,-0.055
adx,bg,c,3,-0.209
ady,bg,h,3,0.125
adz,bg,c,3,-0.066
adA,bg,h,10,-0.419
adB,bg,h,27,-0.086
adC,bg,h,3,-0.101
adD,bg,h,27,0.135
adE,bg,h,28,-0.183
adF,bg,c,22,0.003
